Country,2013,2012,2011,2010,2009,2008,2007,2006,2005
Afghanistan,23621,33894,31293,32145,32937,24585,30319,19689,12752
Albania,No data,No data,No data,No data,No data,2,7,3,3
Algeria,6428,9057,14159,10173,10666,8442,6764,14379,30227
Argentina,90,173,140,166,163,208,201,257,282
Armenia,0,No data,No data,No data,No data,No data,No data,No data,No data
Azerbaijan,33,19,31,45,33,14,22,17,15
Belize,No data,No data,No data,No data,No data,No data,No data,No data,No data
Bolivia (Plurinational State of),No data,1767,1636,1809,1218,1650,3153,3152,2657
Bosnia and Herzegovina,0,0,0,No data,No data,No data,No data,No data,1
Brazil,18226,23793,21356,22397,21989,20123,21530,22397,26685
Bulgaria,No data,No data,No data,No data,No data,No data,No data,No data,No data
Burkina Faso,947,1134,1389,No data,No data,No data,No data,827,827
Cote d'Ivoire,No data,0,0,0,0,0,0,0,1
Cameroon,No data,No data,No data,No data,No data,No data,No data,No data,No data
Central African Republic,No data,No data,No data,No data,No data,No data,No data,No data,No data
Chad,No data,No data,No data,No data,No data,No data,200,No data,No data
China,0,No data,No data,No data,No data,No data,No data,No data,No data
Colombia,9353,9757,9228,14818,15420,9595,13331,16241,18043
Costa Rica,No data,1722,1376,1143,2025,818,1807,1870,1676
Croatia,5,2,1,No data,No data,3,5,1,2
Cyprus,0,5,0,No data,No data,0,0,4,No data
Democratic Republic of the Congo,No data,No data,No data,No data,No data,No data,No data,No data,No data
Djibouti,No data,No data,No data,No data,No data,No data,No data,No data,No data
Dominican Republic,No data,No data,No data,No data,No data,No data,No data,No data,No data
Ecuador,910,1512,1385,1629,1735,1479,1185,1536,1925
Egypt,464,1260,864,318,174,471,No data,No data,No data
El Salvador,16,21,17,4,0,31,36,46,24
Eritrea,No data,No data,No data,No data,No data,No data,No data,No data,No data
Ethiopia,No data,No data,No data,No data,No data,No data,No data,No data,No data
France,No data,5,7,8,2,4,3,3,0
Gambia,No data,No data,No data,No data,No data,No data,No data,No data,No data
Georgia,No data,No data,No data,No data,No data,11,1,2,5
Ghana,No data,No data,129,No data,No data,0,17,0,14
Greece,5,4,2,2,7,4,6,0,2
Guatemala,664,572,549,410,519,494,287,602,1243
Guinea,No data,No data,No data,No data,No data,No data,No data,No data,No data
Guinea-Bissau,No data,No data,No data,No data,No data,No data,No data,No data,No data
Guyana,4,7,15,15,9,14,6,6,7
Honduras,2074,1927,1736,1362,1502,1759,855,1300,1574
India,No data,No data,No data,No data,187,172,156,114,152
Iran (Islamic Republic of),16054,20947,19426,22921,24586,26824,26493,24517,21419
Iraq,1648,2486,2978,3113,2086,1250,655,1339,2435
Israel,No data,No data,No data,223,126,884,904,575,686
Italy,No data,No data,No data,No data,22,23,22,36,73
Jordan,146,103,136,155,148,244,354,181,162
Kazakhstan,14,12,24,4,9,0,0,1,7
Kenya,No data,No data,No data,No data,No data,No data,No data,No data,No data
Kuwait,0,0,0,12,8,No data,No data,No data,No data
Kyrgyzstan,No data,No data,No data,No data,No data,No data,No data,No data,No data
Lebanon,0,2,5,6,1,0,0,0,1
Libya,No data,1500,1327,2273,1691,1800,3884,7180,3819
Malawi,No data,No data,No data,No data,No data,No data,No data,No data,No data
Mali,No data,No data,No data,No data,No data,55,55,86,77
Malta,0,0,1,11,No data,16,13,3,4
Mauritania,No data,No data,No data,No data,No data,No data,No data,No data,No data
Mexico,970,567,468,467,519,725,854,792,861
Monaco,No data,No data,No data,No data,No data,No data,No data,No data,No data
Montenegro,No data,No data,No data,No data,No data,No data,No data,No data,No data
Morocco,2592,2877,4319,8680,6034,5128,3291,3361,2979
Namibia,No data,No data,No data,No data,No data,No data,No data,No data,No data
Nepal,1,0,0,0,0,1,0,0,0
Nicaragua,2219,1884,3146,3497,4047,5826,3719,2125,3521
Niger,No data,No data,No data,No data,No data,No data,No data,No data,No data
Nigeria,0,0,95,No data,No data,7,6,4,8
Oman,No data,2,0,3,4,7,6,4,8
Pakistan,3717,6598,12938,1387,3731,3631,4390,4151,10441
Panama,1762,1811,3221,3221,1866,2109,2199,3774,1649
Paraguay,162,177,186,264,259,380,535,457,591
Peru,8006,6969,11204,7612,6513,7650,10183,8248,8067
Portugal,1,1,2,No data,No data,No data,No data,No data,No data
Saudi Arabia,1988,1464,1951,4129,2549,2321,3286,3602,3883
Senegal,No data,No data,No data,No data,No data,9,10,8,5
Slovenia,No data,No data,No data,No data,No data,No data,No data,No data,No data
South Africa,No data,No data,No data,No data,No data,No data,No data,No data,No data
Spain,No data,18,10,10,10,16,6,6,16
Sri Lanka,No data,No data,No data,148,326,399,384,291,234
Sudan,336,206,111,No data,No data,No data,No data,No data,No data
Suriname,179,260,No data,291,138,159,161,116,231
Syrian Arab Republic,71996,55894,58156,42172,46348,29140,17709,18732,21951
Tajikistan,86,26,13,3,22,38,13,No data,No data
The former Yugoslav republic of Macedonia,No data,No data,No data,No data,No data,No data,No data,No data,No data
Tunisia,4326,5376,5114,3811,1737,2750,2742,9030,15373
Turkey,2618,1898,1803,2237,1696,1161,1499,1892,1926
Turkmenistan,141,158,81,No data,No data,89,101,69,73
Ukraine,No data,No data,No data,No data,No data,3,1,2,4
United States of America,No data,No data,No data,0,2,0,3,6,2
Uzbekistan,505,201,239,610,366,153,55,103,150
Venezuela (Bolivarian Republic of),No data,No data,1551,1952,2248,2392,2464,2553,2550
Yemen,3823,3671,2124,3234,1800,1098,1116,1970,1891
