Country,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Angola,145643,No data,430329,131487,711276,423391,282913,278093,69923,48286
Benin,2952152,2764755,2768062,2745061,No data,No data,1960056,No data,562436,No data
Brazil,9862,9760,9760,9206,8824,7968,7925,7549,6836,6834
Burkina Faso,202009,187732,186040,176936,No data,No data,133341,No data,132529,98460
Burundi,1286570,1245115,1204433,1176498,1146033,1044371,899564,860416,756833,164794
Cote d'Ivoire,1865273,1001818,1219178,1333662,1339774,224292,404397,No data,No data,No data
Cameroon,7203643,6176064,5500491,5403559,5300025,4809180,4647473,4427481,4148276,3613842
Central African Republic,651857,No data,985325,1502260,1264508,1088053,870516,724791,763715,966364
Chad,1732615,300245,1718974,1621004,1542377,1513713,1421448,1389921,1203116,1065249
Colombia,No PC required,No PC required,No PC required,No PC required,No PC required,No PC required,No PC required,1151,1153,1161
Congo,571752,688131,689138,686127,651922,617167,478692,449171,416963,406031
Democratic Republic of the Congo,26049139,24536180,23126855,22403957,20290244,17704257,9534666,9343606,8310318,4876791
Ecuador,No PC required,No PC required,No PC required,No PC required,No PC required,15425,15070,21228,21034,19933
Equatorial Guinea,No data,11840,No data,No data,57735,56902,9294,50064,No data,No data
Ethiopia,9747701,7165807,6446552,4741282,4809869,4613362,4315374,4135538,3665682,2531967
Gabon,No data,No data,No PC required,,,,,,,
Ghana,3372058,3495861,3466716,1776626,1491516,544959,1784353,No data,1069137,675066
Guatemala,No PC required,No PC required,No PC required,105606,106051,97545,117948,160117,166932,164690
Guinea,956726,2261919,2236136,2517391,No data,No data,2417320,No data,No data,No data
Guinea-Bissau,124517,107278,107835,135014,No data,No data,70616,No data,No data,No data
Kenya,No PC required,No PC required,No PC required,,,,,,,
Liberia,No data,2646567,2388812,2419509,2003343,1288496,3586007,2442161,1516586,678178
Malawi,1813432,1777145,1758924,1718966,1666048,1638355,1597659,1546433,1489491,1288264
Mali,566480,4149706,3956909,3925970,3386812,No data,1685532,No data,1762300,1587000
Mexico,No PC required,No PC required,No PC required,102227,97404,94845,136098,138203,139531,144685
Mozambique,No data,No data,No PC required,,,,,,,
Niger,No PC required,No PC required,No PC required,,,,,,,
Nigeria,44415242,28661160,29032404,30439546,29116332,26378374,23599875,23464448,21721592,20753411
Rwanda,No PC required,No PC required,No PC required,,,,,,,
Senegal,118224,120438,No data,No data,No data,No data,112970,No data,No data,No data
Sierra Leone,No data,3419081,2642036,2446658,2248106,2077545,1770757,No data,No data,No data
South Sudan,1485042,2271979,2473693,3467340,,,,,,
Sudan,No data,177015,146468,329702,3311208,3361512,2086931,1499137,1028334,768111
Togo,2694268,3094350,2599544,2477365,No data,No data,233110,No data,2133299,2126529
Uganda,2687991,2504625,2359914,2749364,2031079,2328352,2203148,2169926,2029957,1946983
United Republic of Tanzania,3338320,1928730,1872181,1456302,1901542,1616757,1554102,1684661,1553416,1241620
Venezuela (Bolivarian Republic of),9813,8674,91110,90870,100500,98661,95432,96346,94407,93394
Yemen,No data,65376,51505,39892,51093,45525,57969,54814,105828,129180
